Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Natural gas,Hydro,Nuclear,"Wind, solar, etc.",Biofuels and waste,Oil,Units
1990,3881055,442571,257961,66992,436,4506866,2558074,TJ
1991,4206363,500640,261989,60272,651,4586716,2636096,TJ
1992,4413638,558709,251589,73374,934,4629471,2778242,TJ
1993,4630040,566475,253720,58887,1067,4708861,2865069,TJ
1994,4883151,601073,297817,61614,1526,4812523,3042346,TJ
1995,5162451,725670,261345,87076,2787,4860252,3435020,TJ
1996,5366961,739260,248148,98956,4306,4982669,3636343,TJ
1997,5593152,850925,268779,109996,4762,5062145,3842902,TJ
1998,5523481,891175,298810,130058,5415,5120757,4160598,TJ
1999,5946406,962710,291070,144534,6849,5189492,4536151,TJ
2000,6109530,965850,268063,184385,7549,5263420,4688607,TJ
2001,6238766,971986,265309,212454,9688,5343248,4706983,TJ
2002,6454200,1053974,249912,211527,11406,5375229,4898598,TJ
2003,6587298,1083449,291416,193963,15087,5442641,5069350,TJ
2004,7328767,1188326,326487,185574,18865,5562442,5144364,TJ
2005,7713071,1331825,389235,188989,26406,5682580,5226362,TJ
2006,8222083,1400369,434278,205112,40001,5821135,5561531,TJ
2007,8944023,1493386,461606,184985,49419,5961999,5878267,TJ
2008,9885584,1506957,427514,162840,57017,6043642,6249319,TJ
2009,10557796,2078597,407444,203301,77041,6128254,6668292,TJ
2010,11481175,2277695,449719,286538,83188,6306312,6785507,TJ
2011,12273430,2302067,511984,352221,108114,6383640,6917318,TJ
2012,13617961,2048164,454690,358538,136160,6543678,7453554,TJ
2013,14273859,1860152,533991,373396,152864,6736666,7373111,TJ
2014,15968307,1840742,516250,393840,175132,6921896,7705722,TJ
2015,15865119,1889433,491381,408152,191455,7097622,8659670,TJ
2016,15611798,2008647,495925,413629,271367,7378840,9119316,TJ
2017,16471204,2136133,510355,418319,328340,7730568,9301722,TJ
2018,17183751,2194154,544701,412501,423788,7972547,9746903,TJ
2019,16968090,2275274,620881,506972,486679,7980213,9961875,TJ
2020,16019110,2223290,579231,469407,517557,8259536,9060115,TJ
2021,18264054,2325909,584809,513949,602087,8536189,9252984,TJ
2022,19568681,2170550,624815,500301,722987,9041008,10824259,TJ
2023,20792871,2438346,518004,522949,830227,8982582,11345640,TJ
