State ,Month,Energy Requirement MU,Energy Availability MU
चंडीगढ़/ Chandigarh,Mar-23,101.6,101.6
दिल्ली / Delhi,Mar-23,2130.478,2130.279
हरियाणा / Haryana,Mar-23,3911.822,3909.16
हिमाचल प्रदेश / Himachal Pradesh,Mar-23,1025.63,1023.16
"यू.टी ऑफ़ जम्मू कश्मीर और लद्दाख / 
UTs of J&K and Ladakh ",Mar-23,1725.61,1717.93
पंजाब / Punjab,Mar-23,4275.01,4259.19
राजस्थान / Rajasthan,Mar-23,7541.57,7509.03
उत्तर प्रदेश / Uttar Pradesh,Mar-23,9619.29,9613.89
उत्तराखंड / Uttarakhand,Mar-23,1161.761,1149.01
उत्तरी क्षेत्र / Northern Region ,Mar-23,31616.301,31536.779
छत्तीसगढ़ / Chhattisgarh,Mar-23,3522.61521921053,3519.61371921053
गुजरात / Gujarat,Mar-23,11336.8960947,11336.8960947
मध्य प्रदेश / Madhya Pradesh,Mar-23,7524.6028909174,7496.421383094
महाराष्ट्र / Maharashtra,Mar-23,17010.055545,17009.966325
"दादरा और नगर हवेली और दमन और दीव / 
Dadra & Nagar Haveli and Daman & Diu",Mar-23,791.7707,791.7707
गोवा / Goa,Mar-23,405.46282,405.46282
पश्चिमी क्षेत्र / Western Region,Mar-23,41254.9684546879,41223.6962268645
आन्ध्र प्रदेश / Andhra Pradesh,Mar-23,6711.89013952,6711.89013952
तेलंगाना / Telangana,Mar-23,8909.395019934,8909.395019934
कर्नाटक / Karnataka,Mar-23,8602.62199457872,8602.62199457872
केरल / Kerala,Mar-23,2713.09907303952,2713.09907303952
तमिल नाडू / Tamil Nadu,Mar-23,10799.836298765,10799.836298765
पुडुचेरी / Puducherry,Mar-23,263.825164153,263.825164153
लक्ष-द्वीप / Lakshadweep  #,Mar-23,6.01565,6.01565
दक्षिणी क्षेत्र / Southern Region,Mar-23,38005.0036192402,38005.0036192402
बिहार / Bihar,Mar-23,2882.105318771,2863.953818771
दामोदर घाटी निगम / DVC,Mar-23,2239.638906774,2239.638906774
झारखण्ड / Jharkhand,Mar-23,1106.484301405,1034.630301405
ओडिशा/ Odisha,Mar-23,3441.3626241255,3441.3626241255
पश्चिम बंगाल / West Bengal,Mar-23,4982.247482166,4977.483482166
सिक्किम / Sikkim,Mar-23,50.4907513289999,50.4907513289999
अंडमान-निकोबार/ Andaman- Nicobar #,Mar-23,31.82,31.37
पूर्वी क्षेत्र/ Eastern Region,Mar-23,14709.6423448575,14614.8728448575
अरुणाचल प्रदेश / Arunachal Pradesh,Mar-23,86.897443959496,83.19240168
असम / Assam,Mar-23,843.623520685,843.623520685
मणिपुर / Manipur,Mar-23,83.428147201,83.428147201
मेघालय / Meghalaya ,Mar-23,190.642913916,190.642913916
मिज़ोरम / Mizoram ,Mar-23,51.8784832,51.8784832
नागालैंड / Nagaland ,Mar-23,75.36476403876,70.3558708
त्रिपुरा / Tripura *,Mar-23,121.0487895,121.0487895
उत्तर-पूर्वी क्षेत्र  / North-Eastern Region      ,Mar-23,1453.40996070026,1444.696025182
सम्पूर्ण भारत  / All India,Mar-23,127039.325379486,126825.047716144
